station_id,station_name,row_count,first_date,last_date,failed_months
1,"부산",418,2025-01-01,2026-02-22,
2,"영도",418,2025-01-01,2026-02-22,
3,"다대포",418,2025-01-01,2026-02-22,
4,"대항동",418,2025-01-01,2026-02-22,
5,"가덕도",418,2025-01-01,2026-02-22,
6,"진해",418,2025-01-01,2026-02-22,
8,"마산",418,2025-01-01,2026-02-22,
9,"고현항",418,2025-01-01,2026-02-22,
10,"운풍포",418,2025-01-01,2026-02-22,
15,"성포항",418,2025-01-01,2026-02-22,
16,"우두포",418,2025-01-01,2026-02-22,
17,"성진포",418,2025-01-01,2026-02-22,
21,"구조라",418,2025-01-01,2026-02-22,
24,"용초도",418,2025-01-01,2026-02-22,
25,"통영",418,2025-01-01,2026-02-22,
28,"사량도",418,2025-01-01,2026-02-22,
30,"물건항",418,2025-01-01,2026-02-22,
31,"삼천포",418,2025-01-01,2026-02-22,
35,"양아리",418,2025-01-01,2026-02-22,
36,"미조항",418,2025-01-01,2026-02-22,
41,"여수",418,2025-01-01,2026-02-22,
42,"사포리",418,2025-01-01,2026-02-22,
44,"월전항",418,2025-01-01,2026-02-22,
47,"사양도",418,2025-01-01,2026-02-22,
48,"나로도항",418,2025-01-01,2026-02-22,
51,"거문도",418,2025-01-01,2026-02-22,
53,"거금수도",418,2025-01-01,2026-02-22,
57,"마도수도",418,2025-01-01,2026-02-22,
60,"완도",418,2025-01-01,2026-02-22,
61,"청산도",418,2025-01-01,2026-02-22,
62,"마량항",418,2025-01-01,2026-02-22,
66,"추자도",418,2025-01-01,2026-02-22,
67,"제주",418,2025-01-01,2026-02-22,
71,"성산포",418,2025-01-01,2026-02-22,
72,"서귀포",418,2025-01-01,2026-02-22,
73,"모슬포",418,2025-01-01,2026-02-22,
74,"화순항",418,2025-01-01,2026-02-22,
75,"죽도",418,2025-01-01,2026-02-22,
76,"비양도",418,2025-01-01,2026-02-22,
77,"한림항",418,2025-01-01,2026-02-22,
78,"어란진항",418,2025-01-01,2026-02-22,
79,"서망항",418,2025-01-01,2026-02-22,
80,"갑도",418,2025-01-01,2026-02-22,
82,"벽파진",418,2025-01-01,2026-02-22,
83,"옥동리",418,2025-01-01,2026-02-22,
84,"진도수품",418,2025-01-01,2026-02-22,
86,"하조도",418,2025-01-01,2026-02-22,
87,"상조도",418,2025-01-01,2026-02-22,
88,"서거차항",418,2025-01-01,2026-02-22,
91,"흑산도",418,2025-01-01,2026-02-22,
92,"홍도항",418,2025-01-01,2026-02-22,
93,"능산도",418,2025-01-01,2026-02-22,
99,"전두리",418,2025-01-01,2026-02-22,
100,"우수영항",418,2025-01-01,2026-02-22,
105,"목포",418,2025-01-01,2026-02-22,
110,"안마도",418,2025-01-01,2026-02-22,
111,"영광",418,2025-01-01,2026-02-22,
112,"위도",418,2025-01-01,2026-02-22,
113,"하왕등도",418,2025-01-01,2026-02-22,
116,"말도항",418,2025-01-01,2026-02-22,
117,"군산연도항",418,2025-01-01,2026-02-22,
118,"비응항",418,2025-01-01,2026-02-22,
119,"군산내항",418,2025-01-01,2026-02-22,
120,"군산외항",418,2025-01-01,2026-02-22,
121,"장항",418,2025-01-01,2026-02-22,
123,"서천마량",418,2025-01-01,2026-02-22,
124,"어청도",418,2025-01-01,2026-02-22,
127,"보령",418,2025-01-01,2026-02-22,
128,"소도",418,2025-01-01,2026-02-22,
130,"외도",418,2025-01-01,2026-02-22,
132,"안흥신진도",418,2025-01-01,2026-02-22,
134,"모항항",418,2025-01-01,2026-02-22,
139,"굴업도",418,2025-01-01,2026-02-22,
141,"덕적도진리",418,2025-01-01,2026-02-22,
142,"덕적도북리",418,2025-01-01,2026-02-22,
145,"대산",418,2025-01-01,2026-02-22,
147,"국화도",418,2025-01-01,2026-02-22,
148,"한진리",418,2025-01-01,2026-02-22,
149,"평택",418,2025-01-01,2026-02-22,
151,"영흥도",418,2025-01-01,2026-02-22,
154,"소무의도",418,2025-01-01,2026-02-22,
157,"안산탄도",418,2025-01-01,2026-02-22,
158,"인천",418,2025-01-01,2026-02-22,
159,"영종도",418,2025-01-01,2026-02-22,
163,"강화외포",418,2025-01-01,2026-02-22,
164,"미법도",418,2025-01-01,2026-02-22,
165,"내리",418,2025-01-01,2026-02-22,
167,"모도",418,2025-01-01,2026-02-22,
172,"소연평도",418,2025-01-01,2026-02-22,
173,"대연평도",418,2025-01-01,2026-02-22,
175,"백사장항",418,2025-01-01,2026-02-22,
177,"대청도",418,2025-01-01,2026-02-22,
178,"백령도",418,2025-01-01,2026-02-22,
179,"입파도",418,2025-01-01,2026-02-22,
181,"홍성죽도",418,2025-01-01,2026-02-22,
186,"십이동파도",418,2025-01-01,2026-02-22,
191,"거진",418,2025-01-01,2026-02-22,
192,"속초",418,2025-01-01,2026-02-22,
194,"주문진",418,2025-01-01,2026-02-22,
195,"묵호",418,2025-01-01,2026-02-22,
196,"동해항",418,2025-01-01,2026-02-22,
197,"삼척항",418,2025-01-01,2026-02-22,
199,"울릉도저동",418,2025-01-01,2026-02-22,
201,"독도",418,2025-01-01,2026-02-22,
203,"후포",418,2025-01-01,2026-02-22,
207,"월포리",418,2025-01-01,2026-02-22,
208,"포항",418,2025-01-01,2026-02-22,
209,"구룡포항",418,2025-01-01,2026-02-22,
210,"양포항",418,2025-01-01,2026-02-22,
214,"울산",418,2025-01-01,2026-02-22,
216,"온산",418,2025-01-01,2026-02-22,
219,"녹동",418,2025-01-01,2026-02-22,
220,"고흥발포",418,2025-01-01,2026-02-22,
221,"이어도",418,2025-01-01,2026-02-22,
222,"순천만",418,2025-01-01,2026-02-22,
230,"복사초",418,2025-01-01,2026-02-22,
231,"태안",418,2025-01-01,2026-02-22,
233,"부산신항",418,2025-01-01,2026-02-22,
234,"소매물도",418,2025-01-01,2026-02-22,
238,"서건도",418,2025-01-01,2026-02-22,
241,"해운대",418,2025-01-01,2026-02-22,
246,"광암항",418,2025-01-01,2026-02-22,
250,"다대다포항",418,2025-01-01,2026-02-22,
261,"능양항",418,2025-01-01,2026-02-22,
266,"율림리",418,2025-01-01,2026-02-22,
274,"비토리",418,2025-01-01,2026-02-22,
282,"달천도",418,2025-01-01,2026-02-22,
283,"봉전리",418,2025-01-01,2026-02-22,
287,"봉영리",418,2025-01-01,2026-02-22,
290,"고마리",418,2025-01-01,2026-02-22,
291,"득량도",418,2025-01-01,2026-02-22,
295,"문도",418,2025-01-01,2026-02-22,
296,"덕우도",418,2025-01-01,2026-02-22,
299,"득암리",418,2025-01-01,2026-02-22,
302,"화흥포",418,2025-01-01,2026-02-22,
305,"넙도",418,2025-01-01,2026-02-22,
306,"보옥항",418,2025-01-01,2026-02-22,
